Date,Open,Close
1/2/22 19:00,167.53,164.67
1/3/22 19:00,165.88,166.39
1/4/22 19:00,166.49,162.25
1/5/22 19:00,162.09,161.04
1/6/22 19:00,160.77,156.97
1/9/22 19:00,150.52,150.44
1/10/22 19:00,150.48,150.3
1/11/22 19:00,152.13,152.21
1/12/22 19:00,153.2,149.59
1/13/22 19:00,148.39,148.18
1/17/22 19:00,148.06,146.95
1/18/22 19:00,147.76,145.11
1/19/22 19:00,145.46,142.73
1/20/22 19:00,144.32,142.95
1/23/22 19:00,140.81,146
1/24/22 19:00,144.97,145.48
1/25/22 19:00,147.78,143.99
1/26/22 19:00,144.99,144.64
1/27/22 19:00,144.12,145.91
1/30/22 19:00,146.27,148.07
1/31/22 19:00,149.5,148.22
2/1/22 19:00,148.35,148.71
2/2/22 19:00,147.4,145.31
2/3/22 19:00,145.37,145.39
2/6/22 19:00,145.3,145.14
2/7/22 19:00,144.74,143.53
2/8/22 19:00,146.11,146.26
2/9/22 19:00,143.96,144.82
2/10/22 19:00,144.76,140.18
2/13/22 19:00,140.08,141.59
2/14/22 19:00,144.22,145.58
2/15/22 19:00,145.024,146.49
2/16/22 19:00,145.54,142.8
2/17/22 19:00,143.37,142.95
2/21/22 19:00,141.59,138.19
2/22/22 19:00,139.66,136.83
2/23/22 19:00,133,137.17
2/24/22 19:00,138.13,138.8
2/27/22 19:00,137.06,136.55
2/28/22 19:00,136.72,132.22
3/1/22 19:00,132.98,135.68
3/2/22 19:00,136.74,133.97
3/3/22 19:00,132.51,131.18
3/6/22 19:00,131,124.44
3/7/22 19:00,125.24,121.21
3/8/22 19:00,127.38,126.95
3/9/22 19:00,124.02,126.03
3/10/22 19:00,127.01,122.63
3/13/22 20:00,121.525,117.57
3/14/22 20:00,119.84,119.4
3/15/22 20:00,122.85,125.19
3/16/22 20:00,124.94,127.41
3/17/22 20:00,126.85,131.24
3/20/22 20:00,129.72,130.19
3/21/22 20:00,137.28,133.09
3/22/22 20:00,132.64,133
3/23/22 20:00,133.75,132.08
3/24/22 20:00,133.05,133.7
3/27/22 20:00,133.76,134.81
3/28/22 20:00,137.85,139.14
3/29/22 20:00,138.98,138.54
3/30/22 20:00,137.83,134.56
3/31/22 20:00,134.45,133.52
4/3/22 20:00,133.05,134.34
4/4/22 20:00,134.04,132.3
4/5/22 20:00,130.05,128.36
4/6/22 20:00,127.43,129.38
4/7/22 20:00,129.44,128.15
4/10/22 20:00,125.1,124.98
4/11/22 20:00,125.2,125.04
4/12/22 20:00,125.04,127.49
4/13/22 20:00,129.08,133.46
4/17/22 20:00,132,131.63
4/18/22 20:00,133.09,137.05
4/19/22 20:00,137.96,135.87
4/20/22 20:00,138.55,135.46
4/21/22 20:00,134.33,129.07
4/24/22 20:00,127.8,127.94
4/25/22 20:00,126.95,120.52
4/26/22 20:00,121.09,121.24
4/27/22 20:00,123.17,127.05
4/28/22 20:00,126.22,124.7
5/1/22 20:00,124.43,126.08
5/2/22 20:00,125.02,122.86
5/3/22 20:00,122.54,126.06
5/4/22 20:00,124.11,118.63
5/5/22 20:00,113.74,114.49
5/8/22 20:00,112.97,111.21
5/9/22 20:00,113.03,109.49
5/10/22 20:00,110.7001,107.92
5/11/22 20:00,105.18,107.9
5/12/22 20:00,110.26,113.01
5/15/22 20:00,112.98,112.6
5/16/22 20:00,115.5,115.9
5/17/22 20:00,112.5,109.37
5/18/22 20:00,108.95,106.44
5/19/22 20:00,108.67,108
5/22/22 20:00,107.47,108.63
5/23/22 20:00,107.11,107.29
5/24/22 20:00,103.46,108.2
5/25/22 20:00,110,112.94
5/26/22 20:00,114.22,115.99
5/30/22 20:00,117.5,118.85
5/31/22 20:00,119.83,118.68
6/1/22 20:00,119.51,123.41
6/2/22 20:00,120.21,120.95
6/5/22 20:00,121.5,120.23
6/6/22 20:00,118.66,121.67
6/7/22 20:00,120.9,122.4
6/8/22 20:00,121.35,118.6
6/9/22 20:00,117.09,114.73
6/12/22 20:00,110.39,110.44
6/13/22 20:00,110.37,110.72
6/14/22 20:00,112.16,113.44
6/15/22 20:00,109.51,107.12
6/16/22 20:00,106.15,107.34
6/20/22 20:00,108.46,108.68
6/21/22 20:00,105.4,104.92
6/22/22 20:00,105.01,108
6/23/22 20:00,109.93,112.91
6/26/22 20:00,112.24,110.5
6/27/22 20:00,108.2,102.78
6/28/22 20:00,102.99,103.25
6/29/22 20:00,101.94,102.2
6/30/22 20:00,101.64,101.18
7/4/22 20:00,100.45,104.32
7/5/22 20:00,104.89,104.23
7/6/22 20:00,105.65,108.13
7/7/22 20:00,106.58,107.93
7/10/22 20:00,106.6,105.11
7/11/22 20:00,105.01,103.76
7/12/22 20:00,101.94,105.11
7/13/22 20:00,103.11,103.22
7/14/22 20:00,104.76,104.7
7/17/22 20:00,106.19,103.94
7/18/22 20:00,105.6,109.19
7/19/22 20:00,109.22,111.11
7/20/22 20:00,110.37,111.62
7/21/22 20:00,111.93,109.12
7/24/22 20:00,109.61,109.28
7/25/22 20:00,107.48,105.2
7/26/22 20:00,106.3,107.86
7/27/22 20:00,109.43,112.23
7/28/22 20:00,112.76,114.92
7/31/22 20:00,114,114.3
8/1/22 20:00,113.57,111.77
8/2/22 20:00,113.42,114.28
8/3/22 20:00,114.64,114.48
8/4/22 20:00,112.79,113.87
8/7/22 20:00,114,114
8/8/22 20:00,111.32,110.11
8/9/22 20:00,113.24,113.14
8/10/22 20:00,114.88,114.1
8/11/22 20:00,114.39,116.07
8/14/22 20:00,115.45,116.32
8/15/22 20:00,115.94,118.06
8/16/22 20:00,116.77,117.04
8/17/22 20:00,116,116.01
8/18/22 20:00,115.5,113.16
8/21/22 20:00,111.02,110.34
8/22/22 20:00,110.84,110.68
8/23/22 20:00,110.68,111.41
8/24/22 20:00,111.9,113.22
8/25/22 20:00,113.31,108.28
8/28/22 20:00,106.81,107.88
8/29/22 20:00,108.97,107.86
8/30/22 20:00,107.96,106.45
8/31/22 20:00,105.8,106.49
9/1/22 20:00,107.46,105.74
9/5/22 20:00,105.44,105.15
9/6/22 20:00,105.08,108.48
9/7/22 20:00,107,108.73
9/8/22 20:00,109.38,110.97
9/11/22 20:00,111.38,112.38
9/12/22 20:00,108.84,105.72
9/13/22 20:00,106.13,107
9/14/22 20:00,106.15,105.5
9/15/22 20:00,104.07,104.12
9/18/22 20:00,103.69,107.21
9/19/22 20:00,103.82,102.42
9/20/22 20:00,102.67,99.79
9/21/22 20:00,99.79,98.55
9/22/22 20:00,96.92,97.02
9/25/22 20:00,96.09,96.06
9/26/22 20:00,97.07,96.29
9/27/22 20:00,97.11,98.7
9/28/22 20:00,98.11,95.33
9/29/22 20:00,83.3,83.12
10/2/22 20:00,83.13,85.4
10/3/22 20:00,87.7,88.64
10/4/22 20:00,87.49,91.1
10/5/22 20:00,90.49,90.17
10/6/22 20:00,88.54,87.16
10/9/22 20:00,87.76,86.69
10/10/22 20:00,86.04,87.99
10/11/22 20:00,88,88.51
10/12/22 20:00,86.39,89.56
10/13/22 20:00,90.51,87.55
10/16/22 20:00,89.53,89.97
10/17/22 20:00,92.6,89.68
10/18/22 20:00,88.26,88.57
10/19/22 20:00,89.47,86.83
10/20/22 20:00,87.02,88.5
10/23/22 20:00,87.79,88.01
10/24/22 20:00,88.03,91.72
10/25/22 20:00,90.78,92.39
10/26/22 20:00,92.88,90.54
10/27/22 20:00,91.2,93.83
10/30/22 20:00,93,92.68
10/31/22 20:00,95.69,93.77
11/1/22 20:00,93.13,90.3
11/2/22 20:00,89.97,90.4
11/3/22 20:00,94.45,95.79
11/6/22 19:00,96.31,93.44
11/7/22 19:00,94.44,93.75
11/8/22 19:00,92.67,92.1
11/9/22 19:00,96.33,99.49
11/10/22 19:00,100.31,106.09
11/13/22 19:00,105.2,104.39
11/14/22 19:00,107.99,106.71
11/15/22 19:00,105.25,105.23
11/16/22 19:00,104.11,105.36
11/17/22 19:00,107.63,105.42
11/20/22 19:00,104.61,103.83
11/21/22 19:00,104.62,105.97
11/22/22 19:00,106,106.65
11/24/22 19:00,106.45,105.96
11/27/22 19:00,105.25,104.96
11/28/22 19:00,105.37,106.25
11/29/22 19:00,107.08,109.69
11/30/22 19:00,110.09,111.11
12/1/22 19:00,108.65,112.2
12/4/22 19:00,111.02,109.62
12/5/22 19:00,109.65,107.93
12/6/22 19:00,107.32,108.33
12/7/22 19:00,108.6,111.36
12/8/22 19:00,110.22,109.42
12/11/22 19:00,110.1,112.07
12/12/22 19:00,115.605,112.85
12/13/22 19:00,113.7,111.45
12/14/22 19:00,109.19,108.51
12/15/22 19:00,106.87,105.95
12/18/22 19:00,104.99,103.05
12/19/22 19:00,103,103.21
12/20/22 19:00,116.76,115.78
12/21/22 19:00,114.29,116.71
12/22/22 19:00,116.11,116.25
12/26/22 19:00,116.47,117.56
12/27/22 19:00,117.58,114.98
12/28/22 19:00,116.08,117.35
12/29/22 19:00,116.56,117.01